event_id,target,signal,signal_reason,selected_strategy,elect,M,fair_value,risk_adjusted_fair_value,arb_return_%,E_return_%,decision_metric,decision_value_%,downside_5%_%,cvar_5%_%,loss_probability_%,long_fair_value,long_E_return_%,long_downside_5%_%,long_loss_probability_%,reverse_settlement_value,reverse_completion_return_%,reverse_E_return_%,reverse_downside_5%_%,reverse_loss_probability_%,p_completed,p_terminated,p_withdrawn,outcome_probability_source,terminated_return_%,withdrawn_return_%,terminated_value,withdrawn_value,hedge_side,hedge_ratio,long_hedge_ratio_short_acquirer,reverse_hedge_ratio_long_acquirer,size_x,actual_outcome,realized_return_source,realized_return_%,capacity_status,capacity_flow_model,capacity_binding_constraint,capacity_source_mix,capacity_raw_max_binding_constraint,capacity_raw_max_notional,capacity_raw_max_pct_shares_outstanding,capacity_raw_max_shares,capacity_max_binding_constraint,capacity_max_source_mix,capacity_max_seller_cash_prob,capacity_max_own_cash_prob,capacity_max_lender_cash_prob,capacity_max_buyer_cash_prob,capacity_max_shares,capacity_max_notional,capacity_max_pct_shares_outstanding,capacity_max_E_return_%,capacity_max_downside_5%_%,capacity_max_loss_probability_%,capacity_max_expected_pnl,capacity_max_cash_demand_shift_pctpts,capacity_max_impacted_mean_cash_election_%,capacity_max_baseline_realized_return_%,capacity_max_baseline_realized_pnl,capacity_max_self_impact_realized_return_%,capacity_max_self_impact_realized_pnl,capacity_optimal_binding_constraint,capacity_optimal_source_mix,capacity_optimal_seller_cash_prob,capacity_optimal_own_cash_prob,capacity_optimal_lender_cash_prob,capacity_optimal_buyer_cash_prob,capacity_optimal_shares,capacity_optimal_notional,capacity_optimal_pct_shares_outstanding,capacity_optimal_E_return_%,capacity_optimal_downside_5%_%,capacity_optimal_loss_probability_%,capacity_optimal_expected_pnl,capacity_optimal_cash_demand_shift_pctpts,capacity_optimal_impacted_mean_cash_election_%,capacity_optimal_baseline_realized_return_%,capacity_optimal_baseline_realized_pnl,capacity_optimal_self_impact_realized_return_%,capacity_optimal_self_impact_realized_pnl,capacity_shares,capacity_notional,capacity_pct_shares_outstanding,capacity_max_raw_pct_shares_outstanding,capacity_adv20,capacity_shares_outstanding,capacity_passive_share_%,capacity_positive_holder_share_%,capacity_positive_holder_share_of_active_%,capacity_noisy_holder_share_%,capacity_noisy_cash_prob,capacity_holder_model_source,capacity_holder_fit_n,capacity_holder_p_hat,capacity_holder_q_hat,capacity_holder_predicted_cash_demand_%,capacity_holder_rational_action,capacity_positive_sell_rate_%,capacity_seller_cash_prob,capacity_buyer_cash_prob,capacity_lender_cash_prob,capacity_own_cash_prob,capacity_cash_demand_shift_pctpts,capacity_impacted_mean_cash_election_%,capacity_election_impact_used_in_payoff,capacity_adjusted_E_return_%,capacity_adjusted_downside_5%_%,capacity_adjusted_loss_probability_%,capacity_alpha_decay_%,capacity_adjusted_realized_return_%,capacity_baseline_realized_return_%,capacity_baseline_realized_pnl,capacity_self_impact_realized_return_%,capacity_self_impact_realized_pnl,self_impact_can_eliminate_arbitrage,self_impact_break_even_pct_shares_outstanding,self_impact_proof_note
E000196_20221019_HV_Bancorp_Inc__Citizens_Financial_Services_Inc,HV Bancorp Inc,PASS_P05,best_candidate_p05_below_floor,PASS,CASH,25.48,28.82,27.38,13.1,7.46,mean,7.46,-25.0,-27.56,13.81,28.82,7.46,-25.0,13.81,27.08,-6.28,-1.49,-6.28,85.9,0.8621,0.1021,0.0358,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,19.11,16.56,SHORT_ACQUIRER,0.157,0.157,0.32,0.0,completed,realized_f_cash,10.55,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000078_20201005_Eidos_Therapeutics_Inc__Bridgebio_Pharma_Inc,Eidos Therapeutics Inc,REVERSE,risk_adjusted_return_positive,SHORT_TARGET_PASSIVE,STOCK,74.75,73.51,69.23,-1.47,7.38,mean,7.38,1.66,1.66,0.0,73.65,-6.92,-41.08,100.0,73.51,1.66,7.38,1.66,0.0,0.8594,0.1042,0.0364,external_outcome_probabilities_explicit_three_state,-41.08,-41.08,44.04,44.04,LONG_ACQUIRER,0.925,1.461,0.925,3.0,completed,completed_status_no_realized_f_cash,1.66,ok,short_target_borrow_from_inactive_sell_to_noisy_buyers,noisy_buyer_demand,passive_inactive_lenders:1.00,noisy_buyer_demand,17189831.425,0.5959,229964.3,noisy_buyer_demand,passive_inactive_lenders:1.00,,,0.0,0.2,229964.3,17189831.425,0.5959,7.3836,1.6592,0.0,1269232.2335,0.1192,42.8993,1.6592,285213.2231,1.6592,285213.2231,noisy_buyer_demand,passive_inactive_lenders:1.00,,,0.0,0.2,229964.3,17189831.425,0.5959,7.3836,1.6592,0.0,1269232.2335,0.1192,42.8993,1.6592,285213.2231,1.6592,285213.2231,229964.3,17189831.425,0.5959,0.5959,229964.3,38592000.0,4.2614,10.0,10.4451,85.7386,0.2,rolling_structural_fit,31.0,0.2,0.1,17.1477,stock,0.0,,0.2,0.0,,0.1192,42.8993,0,7.3836,1.6592,0.0,0.0,1.6592,1.6592,285213.2231,1.6592,285213.2231,0,,not_possible_for_reverse_under_fixed_pool_passive_blended_settlement
E000037_20090420_PepsiAmericas_Inc__PepsiCo_Inc,PepsiAmericas Inc,ENTER,risk_adjusted_return_positive,LONG_TARGET_ELECTION,CASH,24.66,27.99,26.47,13.49,7.33,mean,7.33,-25.0,-27.23,15.13,27.99,7.33,-25.0,15.13,26.58,-7.79,-2.55,-7.79,85.05,0.8474,0.1181,0.0345,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,18.5,16.03,SHORT_ACQUIRER,0.067,0.067,0.251,0.27,completed,realized_f_cash,15.57,ok,long_target_buy_from_noisy_then_ev_sensitive_then_passive,source_supply,noisy_sellers:0.96|passive_inactive:0.04,source_supply,18515498.1318,0.6011,750831.23,source_supply,noisy_sellers:0.96|passive_inactive:0.04,0.3077,1.0,,,750831.23,18515498.1318,0.6011,7.3718,-25.0,14.955,1364925.1796,0.4162,43.8552,15.5718,2883191.9232,15.5718,2883191.9232,source_supply,noisy_sellers:0.96|passive_inactive:0.04,0.3077,1.0,,,750831.23,18515498.1318,0.6011,7.3718,-25.0,14.955,1364925.1796,0.4162,43.8552,15.5718,2883191.9232,15.5718,2883191.9232,750831.23,18515498.1318,0.6011,0.6011,722075.0,124900000.0,2.3023,0.0,0.0,97.6977,0.3,rolling_structural_fit,18.0,0.3,0.0,30.4605,cash,0.0,0.3077,,,1.0,0.4162,43.8552,1,7.3718,-25.0,14.955,-0.0452,15.5718,15.5718,2883191.9232,15.5718,2883191.9232,0,,not_within_100pct_target_shares_under_current_terms_and_gates
E000249_20240307_Superior_Drilling_Products_Inc__Drilling_Tools_International_Corp,Superior Drilling Products,ENTER,risk_adjusted_return_positive,LONG_TARGET_ELECTION,CASH,0.88,0.99,0.94,12.8,7.21,mean,7.21,-25.0,-27.63,13.83,0.99,7.21,-25.0,13.83,0.96,-9.39,-4.21,-9.39,85.97,0.8597,0.1035,0.0369,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,0.66,0.57,SHORT_ACQUIRER,0.041,0.041,0.157,0.26,completed,realized_f_cash,14.03,ok,long_target_buy_from_noisy_then_ev_sensitive_then_passive,source_supply,noisy_sellers:0.96|passive_inactive:0.04,source_supply,114338.5944,0.429,130374.68,source_supply,noisy_sellers:0.96|passive_inactive:0.04,0.2126,1.0,,,130374.68,114338.5944,0.429,6.8622,-25.0,14.595,7846.1572,0.3378,43.2142,14.0251,16036.0856,14.0251,16036.0856,source_supply,noisy_sellers:0.96|passive_inactive:0.04,0.2126,1.0,,,130374.68,114338.5944,0.429,6.8622,-25.0,14.595,7846.1572,0.3378,43.2142,14.0251,16036.0856,14.0251,16036.0856,130374.68,114338.5944,0.429,0.429,124903.8,30391000.0,1.8002,20.0,20.3666,78.1998,0.2,rolling_structural_fit,32.0,0.2,0.2,36.54,cash,0.0,0.2126,,,1.0,0.3378,43.2142,1,6.8622,-25.0,14.595,0.3481,14.0251,14.0251,16036.0856,14.0251,16036.0856,0,,not_within_100pct_target_shares_under_current_terms_and_gates
E000122_20070720_Oak_Hill_Financial_Inc__WesBanco_Inc,Oak Hill Financial Inc,ENTER,risk_adjusted_return_positive,LONG_TARGET_ELECTION,CASH,29.54,33.3,31.6,12.72,6.97,mean,6.97,-25.0,-27.37,14.44,33.3,6.97,-25.0,14.44,30.42,-2.98,1.38,-2.98,85.62,0.8571,0.1086,0.0343,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,22.16,19.2,SHORT_ACQUIRER,0.701,0.701,1.13,0.25,completed,realized_f_cash,4.49,ok,long_target_buy_from_noisy_then_ev_sensitive_then_passive,source_supply,noisy_sellers:1.00,source_supply,635247.361,0.4023,21504.65,source_supply,noisy_sellers:1.00,0.3,1.0,,,21504.65,635247.361,0.4023,6.8616,-25.0,14.51,43587.9522,0.2816,42.6848,4.493,28541.6874,4.4743,28422.8326,source_supply,noisy_sellers:1.00,0.3,1.0,,,21504.65,635247.361,0.4023,6.8616,-25.0,14.51,43587.9522,0.2816,42.6848,4.493,28541.6874,4.4743,28422.8326,21504.65,635247.361,0.4023,0.4023,21504.65,5346000.0,0.0,40.0,40.0,60.0,0.3,rolling_structural_fit,9.0,0.3,0.4,58.0,cash,0.0,0.3,,,1.0,0.2816,42.6848,1,6.8616,-25.0,14.51,0.1105,4.4743,4.493,28541.6874,4.4743,28422.8326,1,59.0,pure_noisy_counterparty_self_impact_hits_risk_adjusted_return_below_hurdle
E000174_20141113_Foster_Wheeler_AG__Amec_Foster_Wheeler_Ltd,Foster Wheeler AG,REVERSE,risk_adjusted_return_positive,SHORT_TARGET_PASSIVE,CASH,30.24,29.6,28.22,3.81,6.67,mean,6.67,2.1,2.1,0.0,31.39,-1.81,-25.0,32.82,29.6,2.1,6.67,2.1,0.0,0.824,0.1336,0.0424,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,22.68,19.66,LONG_ACQUIRER,0.45,0.114,0.45,3.0,completed,realized_f_cash,2.1,ok,short_target_borrow_from_inactive_sell_to_noisy_buyers,noisy_buyer_demand,passive_inactive_lenders:1.00,noisy_buyer_demand,26689580.568,0.8815,882591.95,noisy_buyer_demand,passive_inactive_lenders:1.00,,,0.5,0.4,882591.95,26689580.568,0.8815,6.6678,2.0999,0.0,1779614.9604,-0.0881,42.0213,2.0999,560467.0705,2.0999,560467.0705,noisy_buyer_demand,passive_inactive_lenders:1.00,,,0.5,0.4,882591.95,26689580.568,0.8815,6.6678,2.0999,0.0,1779614.9604,-0.0881,42.0213,2.0999,560467.0705,2.0999,560467.0705,882591.95,26689580.568,0.8815,0.8815,882591.95,100127000.0,7.3322,0.0,0.0,92.6678,0.4,rolling_structural_fit,28.0,0.4,0.0,,,0.0,,0.4,0.5,,-0.0881,42.0213,0,6.6678,2.0999,0.0,0.0,2.0999,2.0999,560467.0705,2.0999,560467.0705,0,,not_possible_for_reverse_under_fixed_pool_passive_blended_settlement
E000163_20070627_Web.com_Holding_Co_Inc__Web.com_Group_Inc,Web.com Holding Co Inc (We,PASS_LOSS_PROB,best_candidate_loss_probability_above_ceiling,PASS,STOCK,6.45,6.58,6.03,2.5,6.57,mean,6.57,-2.0,-2.0,69.84,6.61,-6.29,-25.0,30.38,6.58,-2.0,6.57,-2.0,69.84,0.6959,0.2605,0.0436,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,4.84,4.19,LONG_ACQUIRER,0.344,0.542,0.344,0.0,completed,completed_status_no_realized_f_cash,-2.0,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000072_20070214_TALX_Corp__Equifax_Inc,TALX Corp,REVERSE,risk_adjusted_return_positive,SHORT_TARGET_PASSIVE,CASH,35.75,34.91,33.56,-1.43,6.12,mean,6.12,2.35,2.35,0.0,35.24,-5.31,-25.0,100.0,34.91,2.35,6.12,2.35,0.0,0.849,0.1167,0.0343,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,26.81,23.24,LONG_ACQUIRER,0.646,0.287,0.646,3.0,completed,completed_status_no_realized_f_cash,2.35,ok,short_target_borrow_from_inactive_sell_to_noisy_buyers,noisy_buyer_demand,passive_inactive_lenders:0.00|noisy_inactive_lenders:1.00,noisy_buyer_demand,10059587.0375,0.8937,281387.05,noisy_buyer_demand,passive_inactive_lenders:0.00|noisy_inactive_lenders:1.00,,,0.4988,0.5,281387.05,10059587.0375,0.8937,6.1157,2.3451,0.0,615209.4521,0.001,42.7813,2.3451,235903.6472,2.3451,235903.6472,noisy_buyer_demand,passive_inactive_lenders:0.00|noisy_inactive_lenders:1.00,,,0.4988,0.5,281387.05,10059587.0375,0.8937,6.1157,2.3451,0.0,615209.4521,0.001,42.7813,2.3451,235903.6472,2.3451,235903.6472,281387.05,10059587.0375,0.8937,0.8937,281387.05,31487000.0,0.0208,30.0,30.0062,69.9792,0.5,rolling_structural_default,0.0,0.5,0.3,35.0,stock,0.0,,0.5,0.4988,,0.001,42.7813,0,6.1157,2.3451,0.0,0.0,2.3451,2.3451,235903.6472,2.3451,235903.6472,0,,not_possible_for_reverse_under_fixed_pool_passive_blended_settlement
E000028_20190402_AmeriGas_Partners_LP__UGI_Corp,AmeriGas Partners LP,REVERSE,risk_adjusted_return_positive,SHORT_TARGET_PASSIVE,CASH,35.27,34.57,33.21,-0.41,5.85,mean,5.85,1.98,1.98,0.0,35.13,-4.49,-25.0,48.68,34.57,1.98,5.85,1.98,0.0,0.8505,0.1108,0.0387,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,26.45,22.93,LONG_ACQUIRER,0.319,0.084,0.319,3.0,completed,completed_status_no_realized_f_cash,1.98,ok,short_target_borrow_from_inactive_sell_to_noisy_buyers,noisy_buyer_demand,passive_inactive_lenders:0.56|noisy_inactive_lenders:0.44,noisy_buyer_demand,25072300.252,0.7645,710867.6,noisy_buyer_demand,passive_inactive_lenders:0.56|noisy_inactive_lenders:0.44,,,0.3681,0.2,710867.6,25072300.252,0.7645,5.8498,1.9831,0.0,1466677.2749,-0.1285,42.5695,1.9831,497196.4385,1.9831,497196.4385,noisy_buyer_demand,passive_inactive_lenders:0.56|noisy_inactive_lenders:0.44,,,0.3681,0.2,710867.6,25072300.252,0.7645,5.8498,1.9831,0.0,1466677.2749,-0.1285,42.5695,1.9831,497196.4385,1.9831,497196.4385,710867.6,25072300.252,0.7645,0.7645,710867.6,92987000.0,2.1422,10.0,10.2189,87.8578,0.2,rolling_structural_fit,30.0,0.2,0.1,28.6426,cash,0.0,,0.2,0.3681,,-0.1285,42.5695,0,5.8498,1.9831,0.0,0.0,1.9831,1.9831,497196.4385,1.9831,497196.4385,0,,not_possible_for_reverse_under_fixed_pool_passive_blended_settlement
E000046_20140321_LIN_Media_LLC__Media_General_Inc,LIN Media LLC,REVERSE,risk_adjusted_return_positive,SHORT_TARGET_PASSIVE,CASH,26.48,25.93,24.93,-1.97,5.85,mean,5.85,2.09,2.09,0.0,25.96,-5.78,-25.0,100.0,25.93,2.09,5.85,2.09,0.0,0.8512,0.1134,0.0354,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,19.86,17.21,LONG_ACQUIRER,0.736,0.194,0.736,3.0,completed,completed_status_no_realized_f_cash,2.09,ok,short_target_borrow_from_inactive_sell_to_noisy_buyers,noisy_buyer_demand,passive_inactive_lenders:0.08|noisy_inactive_lenders:0.92,noisy_buyer_demand,24945732.912,2.7723,942059.4,noisy_buyer_demand,passive_inactive_lenders:0.08|noisy_inactive_lenders:0.92,,,0.4081,0.4,942059.4,24945732.912,2.7723,5.8451,2.0923,0.0,1458109.6703,-0.0225,42.9109,2.0923,521935.7638,2.0923,521935.7638,noisy_buyer_demand,passive_inactive_lenders:0.08|noisy_inactive_lenders:0.92,,,0.4081,0.4,942059.4,24945732.912,2.7723,5.8451,2.0923,0.0,1458109.6703,-0.0225,42.9109,2.0923,521935.7638,2.0923,521935.7638,942059.4,24945732.912,2.7723,2.7723,942059.4,33981000.0,1.1257,0.0,0.0,98.8743,0.4,rolling_structural_fit,29.0,0.4,0.0,40.1126,exit,0.0,,0.4,0.4081,,-0.0225,42.9109,0,5.8451,2.0923,0.0,0.0,2.0923,2.0923,521935.7638,2.0923,521935.7638,0,,not_possible_for_reverse_under_fixed_pool_passive_blended_settlement
E000176_20160310_LaPorte_Bancorp_Inc__Horizon_Bancorp_Inc_IN,LaPorte Bancorp Inc,PASS_P05,best_candidate_p05_below_floor,PASS,CASH,15.2,16.84,16.03,10.79,5.47,mean,5.47,-25.0,-27.41,13.95,16.84,5.47,-25.0,13.95,15.68,-3.13,1.12,-3.13,86.17,0.8606,0.1046,0.0348,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,11.4,9.88,SHORT_ACQUIRER,0.148,0.148,0.409,0.0,completed,completed_status_no_realized_f_cash,,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000024_20161117_Western_Refining_Inc__Andeavor,Western Refining Inc,REVERSE,risk_adjusted_return_positive,SHORT_TARGET_PASSIVE,STOCK,37.92,37.63,35.93,-0.27,5.24,mean,5.24,0.77,0.77,0.0,37.82,-4.81,-29.4,63.65,37.63,0.77,5.24,0.77,0.0,0.8497,0.1135,0.0368,external_outcome_probabilities_explicit_three_state,-29.4,-35.0,26.77,24.65,LONG_ACQUIRER,0.217,0.343,0.217,3.0,completed,completed_status_no_realized_f_cash,0.77,ok,short_target_borrow_from_inactive_sell_to_noisy_buyers,noisy_buyer_demand,passive_inactive_lenders:0.51|noisy_inactive_lenders:0.49,noisy_buyer_demand,152907567.096,3.719,4032372.55,noisy_buyer_demand,passive_inactive_lenders:0.51|noisy_inactive_lenders:0.49,,,0.1474,0.3,4032372.55,152907567.096,3.719,5.2435,0.773,0.0,8017702.585,0.5677,43.1622,0.773,1181989.2037,0.773,1181989.2037,noisy_buyer_demand,passive_inactive_lenders:0.51|noisy_inactive_lenders:0.49,,,0.1474,0.3,4032372.55,152907567.096,3.719,5.2435,0.773,0.0,8017702.585,0.5677,43.1622,0.773,1181989.2037,0.773,1181989.2037,4032372.55,152907567.096,3.719,3.719,4032372.55,108425000.0,9.4609,10.0,11.045,80.5391,0.3,rolling_structural_fit,27.0,0.3,0.1,,,0.0,,0.3,0.1474,,0.5677,43.1622,0,5.2435,0.773,0.0,0.0,0.773,0.773,1181989.2037,0.773,1181989.2037,0,,not_possible_for_reverse_under_fixed_pool_passive_blended_settlement
E000038_20100415_Mariner_Energy_Inc__Apache_Corp,Mariner Energy Inc,PASS_LOSS_PROB,best_candidate_loss_probability_above_ceiling,PASS,STOCK,25.82,26.12,24.56,1.46,4.88,mean,4.88,-1.18,-1.18,85.12,26.2,-4.65,-39.58,14.88,26.12,-1.18,4.88,-1.18,85.12,0.848,0.1173,0.0347,external_outcome_probabilities_explicit_three_state,-39.58,-39.58,15.6,15.6,LONG_ACQUIRER,0.122,0.192,0.122,0.0,completed,completed_status_no_realized_f_cash,-1.18,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000005_20160125_Johnson_Controls_Inc__Johnson_Controls_International_plc,Johnson Controls Inc,REVERSE,risk_adjusted_return_positive,SHORT_TARGET_PASSIVE,STOCK,35.01,34.95,33.31,-0.08,4.85,mean,4.85,0.19,0.19,0.0,34.98,-4.81,-25.0,65.46,34.95,0.19,4.85,0.19,0.0,0.8294,0.1262,0.0444,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,26.26,22.76,LONG_ACQUIRER,0.5,0.795,0.5,3.0,completed,realized_f_cash,0.19,ok,short_target_borrow_from_inactive_sell_to_noisy_buyers,noisy_buyer_demand,passive_inactive_lenders:1.00,noisy_buyer_demand,210397582.1745,0.9275,6009642.45,noisy_buyer_demand,passive_inactive_lenders:1.00,,,0.0,0.4,6009642.45,210397582.1745,0.9275,4.8513,0.1857,0.0,10207062.0449,0.371,43.8964,0.1857,390626.7592,0.1857,390626.7592,noisy_buyer_demand,passive_inactive_lenders:1.00,,,0.0,0.4,6009642.45,210397582.1745,0.9275,4.8513,0.1857,0.0,10207062.0449,0.371,43.8964,0.1857,390626.7592,0.1857,390626.7592,6009642.45,210397582.1745,0.9275,0.9275,6009642.45,647908000.0,12.5307,0.0,0.0,87.4693,0.4,rolling_structural_fit,27.0,0.4,0.0,34.9877,cash,0.0,,0.4,0.0,,0.371,43.8964,0,4.8513,0.1857,0.0,0.0,0.1857,0.1857,390626.7592,0.1857,390626.7592,0,,not_possible_for_reverse_under_fixed_pool_passive_blended_settlement
E000191_20101012_Rome_Bancorp_Inc__Beacon_Financial_Corp,Rome Bancorp Inc,PASS_P05,best_candidate_p05_below_floor,PASS,STOCK,10.95,12.93,11.43,18.1,4.38,mean,4.38,-35.0,-35.0,30.43,12.93,4.38,-35.0,30.43,12.54,-14.48,-1.87,-14.48,69.56,0.6958,0.245,0.0592,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,8.21,7.12,SHORT_ACQUIRER,0.518,0.518,0.396,0.0,completed,realized_f_cash,15.86,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000212_20070827_Carolina_National_Corp__First_National_Bancshares_Inc_SC,Carolina National Corp,PASS_P05,best_candidate_p05_below_floor,PASS,CASH,19.25,21.14,20.08,9.82,4.29,mean,4.29,-27.79,-29.48,14.06,21.14,4.29,-27.79,14.06,20.36,-5.74,-0.61,-5.74,85.51,0.8579,0.1078,0.0343,external_outcome_probabilities_explicit_three_state,-27.79,-35.0,13.9,12.51,SHORT_ACQUIRER,0.405,0.405,1.027,0.0,completed,realized_f_cash,6.66,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000119_20220524_PCSB_Financial_Corp__Brookline_Bancorp_Inc,PCSB Financial Corp,PASS_P05,best_candidate_p05_below_floor,PASS,CASH,19.59,21.39,20.39,9.19,4.07,mean,4.07,-25.0,-27.63,13.88,21.39,4.07,-25.0,13.88,20.09,-2.57,1.61,-2.57,86.12,0.8613,0.1025,0.0362,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,14.69,12.73,SHORT_ACQUIRER,0.255,0.255,0.797,0.0,completed,realized_f_cash,3.6,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000258_20111220_Commercefirst_Bancorp_Inc__Sandy_Spring_Bancorp_Inc,Commercefirst Bancorp Inc,PASS_P05,best_candidate_p05_below_floor,PASS,STOCK,12.8,14.16,13.32,10.61,4.05,mean,4.05,-36.52,-36.52,13.93,14.16,4.05,-36.52,13.93,13.95,-9.02,-2.69,-9.02,86.09,0.8595,0.1062,0.0343,external_outcome_probabilities_explicit_three_state,-36.52,-36.52,8.12,8.12,SHORT_ACQUIRER,0.633,0.633,0.402,0.0,completed,completed_status_no_realized_f_cash,,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000121_20070129_Premier_Community_Bankshares_Inc__United_Bankshares_Inc_WV,Premier Community Bankshar,PASS_LOSS_PROB,best_candidate_loss_probability_above_ceiling,PASS,STOCK,33.38,34.12,32.06,2.41,3.97,mean,3.97,-2.21,-2.21,85.47,34.18,-3.59,-40.29,14.06,34.12,-2.21,3.97,-2.21,85.47,0.8571,0.1086,0.0343,external_outcome_probabilities_explicit_three_state,-40.29,-40.29,19.93,19.93,LONG_ACQUIRER,0.465,0.734,0.465,0.0,completed,completed_status_no_realized_f_cash,-2.21,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000068_20181119_Resolute_Energy_Corp__Cimarex_Energy_Co,Resolute Energy Corp,REVERSE,risk_adjusted_return_positive,SHORT_TARGET_PASSIVE,CASH,33.62,33.59,32.29,3.0,3.96,mean,3.96,0.09,0.09,0.0,34.63,-1.39,-25.0,16.77,33.59,0.09,3.96,0.09,0.0,0.8536,0.1096,0.0367,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,25.21,21.85,LONG_ACQUIRER,0.197,0.052,0.197,3.0,completed,completed_status_no_realized_f_cash,0.09,ok,short_target_borrow_from_inactive_sell_to_noisy_buyers,noisy_buyer_demand,passive_inactive_lenders:0.64|noisy_inactive_lenders:0.36,noisy_buyer_demand,28587165.007,3.6705,850302.35,noisy_buyer_demand,passive_inactive_lenders:0.64|noisy_inactive_lenders:0.36,,,0.3912,0.2,850302.35,28587165.007,3.6705,3.9573,0.0851,0.0,1131283.2752,-0.7018,42.1892,0.0851,24333.1023,0.0851,24333.1023,noisy_buyer_demand,passive_inactive_lenders:0.64|noisy_inactive_lenders:0.36,,,0.3912,0.2,850302.35,28587165.007,3.6705,3.9573,0.0851,0.0,1131283.2752,-0.7018,42.1892,0.0851,24333.1023,0.0851,24333.1023,850302.35,28587165.007,3.6705,3.6705,850302.35,23166000.0,11.6969,10.0,11.3246,78.3031,0.2,rolling_structural_fit,29.0,0.2,0.1,37.3576,cash,0.0,,0.2,0.3912,,-0.7018,42.1892,0,3.9573,0.0851,0.0,0.0,0.0851,0.0851,24333.1023,0.0851,24333.1023,0,,not_possible_for_reverse_under_fixed_pool_passive_blended_settlement
E000088_20160825_AEP_Industries_Inc__Berry_Global_Group_Inc,AEP Industries Inc,PASS_LOSS_PROB,best_candidate_loss_probability_above_ceiling,PASS,STOCK,110.79,111.69,106.42,1.69,3.94,mean,3.94,-0.81,-0.81,85.4,112.66,-3.21,-30.64,14.67,111.69,-0.81,3.94,-0.81,85.4,0.8543,0.1101,0.0356,external_outcome_probabilities_explicit_three_state,-30.64,-35.0,76.84,72.01,LONG_ACQUIRER,1.251,1.973,1.251,0.0,completed,completed_status_no_realized_f_cash,-0.81,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000225_20120910_WSB_Holdings_Inc__Old_Line_Bancshares_Inc,WSB Holdings Inc,PASS_P05,best_candidate_p05_below_floor,PASS,CASH,5.33,6.01,5.54,12.71,3.9,mean,3.9,-49.75,-49.75,14.11,6.01,3.9,-49.75,14.11,5.87,-10.02,-1.61,-10.02,85.92,0.8596,0.106,0.0344,external_outcome_probabilities_explicit_three_state,-49.75,-49.75,2.68,2.68,SHORT_ACQUIRER,0.129,0.129,0.365,0.0,completed,completed_status_no_realized_f_cash,,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
