event_id,pct_elected_cash,pct_elected_stock,pct_received_cash,cash_proration_factor,aggregate_cash_usd,shares_base,disclosure_type,basis,notes
E000191_20101012_Rome_Bancorp_Inc__Beacon_Financial_Corp,10.5,75.1,,,,,elected_pct,direct,"Final results show 10.5% elected cash and 75.1% elected stock (of shares tallied, denominator basis unclear); stock oversubscription caused stock-side proration (0.5276 vs 0.5658 ratio) while cash and no-preference shares received full $11.25 cash, so no cash proration factor is applicable."
E000196_20221019_HV_Bancorp_Inc__Citizens_Financial_Services_Inc,43.97,39.61,,0.4549,,2242421.0,elected_pct,direct,"Election percentages directly stated; cash was oversubscribed and prorated to ~45.49% fill for cash electors, but resulting received percentage not explicitly given."
E000197_20061011_Potomac_Bank_of_Virginia_Fairfax_VA__Sandy_Spring_Bancorp_Inc,,,50.0,,31410436.5,,received_or_allocated,direct,"Fixed 50/50 cash/stock split enforced by contract; ~1,444,158 shares (~50%) converted to cash consideration, not a market-driven election outcome."
E000199_20130129_Somerset_Hills_Bancorp__Lakeland_Bancorp_Inc,,,10.0,,6500000.0,,received_or_allocated,direct,"Filing states final allocation approximated the targeted 90% stock/10% cash split with ~$6.5M cash paid and 5,794,132 shares issued, but no distinct election (demand) percentages were disclosed."
E000212_20070827_Carolina_National_Corp__First_National_Bancshares_Inc_SC,75.79,15.16,30.0,0.3958,16748159.0,2593023.0,elected_pct,direct,Election percentages directly stated; cash was capped at 30% of total consideration with cash-electing shares prorated at ~39.58%.
E000214_20140414_FedFirst_Financial_Corp__CB_Financial_Services_Inc,64.0,21.9,35.0,0.55,,2286008.0,elected_pct,direct,"64.0% of shares elected cash (oversubscribed vs 35% cash target); cash electors were prorated to receive ~55% cash/45% stock, and overall ~35% of shares ultimately received cash consideration."
E000217_20080108_MFB_Corp__MutualFirst_Financial_Inc,,,,0.251417,11500000.0,,proration_factor_only,direct,"Cash was oversubscribed; cash electors received cash for 25.1417% of their cash-election shares (stock for the rest), with aggregate cash paid ~$11.5 million, but no explicit election percentages or share base were disclosed."
E000220_20131002_Investors_Capital_Holdings_Ltd__Aretec_Group_Inc,14.57,9.81,14.57,,8700000.0,7238309.0,elected_pct,direct,"Final results show 14.57% of shares elected cash and 9.81% affirmatively elected stock (with remainder deemed stock); no proration was triggered since cash elections stayed below the 60% cash cap, so received cash equals elected cash."
E000222_20210729_Royal_Financial_Inc__Finward_Bancorp,3.3,88.3,,,,2655123.0,elected_pct,direct,Preliminary election results state 3.3% of shares elected cash and 88.3% elected stock (8.4% made no election); proration for oversubscribed stock elections was described qualitatively but not tied to a specific 'cash election' fill factor.
E000224_20171116_First_West_Virginia_Bancorp_Inc__CB_Financial_Services_Inc,10.7,77.2,,1.0,,1718730.0,elected_pct,direct,"Cash election (10.7%) and stock election (77.2%) percentages directly stated; stock was undersubscribed, so cash electors received full $28.50/share while non-election shares were reallocated as a stock/cash mix to fill the 80% stock target."
E000226_20150826_Hopewell_Valley_Community_Bank__Northfield_Bancorp_Inc,,,,,,,not_disclosed,not_found,Only aggregate stock consideration issued and proration mechanics/formula are disclosed; actual election or proration outcome percentages are not provided in the supplied evidence.
E000231_20160601_First_Century_Bankshares_Inc__Summit_Financial_Group_Inc,,,35.0,,14989000.0,1903120.0,received_or_allocated,derived,"Figures reflect actual post-closing cash/stock consideration paid (derived from $14,989,000 cash and 1,537,912 shares issued vs. 1,903,120 total shares), not raw election demand, and align with the 35%/65% caps after proration."
E000234_20070830_TSB_Financial_Corp__SOUTHSTATE_BANK_CORP,33.8,42.4,,0.549,9900000.0,1162018.0,elected_pct,direct,"33.8% of TSB shares elected cash and 42.4% elected stock (of 1,162,018 shares outstanding); since stock elections fell short of the 945,994-share stock target, cash electors were prorated to receive ~54.9% cash/45.1% stock, with ~$9.9 million aggregate cash paid."
E000249_20240307_Superior_Drilling_Products_Inc__Drilling_Tools_International_Corp,5.3,80.5,49.1,,14900000.0,30391244.0,received_or_allocated,derived,"Cash (5.3%) and stock (80.5%) election percentages are directly stated; pct_received_cash (~49.1%) was derived from the number of original shares that ultimately received cash after stock-election proration (only 63.3% of elected stock was honored), based on shares base of 30,391,244 (sum of cash-election, no-election, and stock-election shares)."
E000255_20131218_South_Street_Financial_Corp__BNC_Bancorp,,,20.2,,4600000.0,2576119.0,received_or_allocated,derived,"Final closing allocation shows ~20.2% of shares received cash (~519,774 shares, $4.6M) and ~80% converted to stock under the fixed 2,060,895-share stock cap, reflecting post-proration outcomes rather than raw elections."
E000257_20101215_North_Penn_Bancorp_Inc__Norwood_Financial_Corp,60.29,30.8,,0.6555,,1334844.0,elected_pct,direct,Elected percentages and proration factor for cash-election shares (65.55% cash / 34.45% stock) both explicitly stated; overall received-cash percentage not directly given.
E000259_20120503_Alliance_Bankshares_Corp__WashingtonFirst_Bankshares_Inc,20.0,,20.0,,,5109969.0,reextracted_elected,derived,"Cash elections exceeded the 20% cap (1,021,993/5,109,969 shares), triggering pro rata proration; exact elected percentage and proration factor were not disclosed, but the capped outcome implies 20% of shares ultimately received cash."
E000268_20130313_Miscor_Group_Ltd__IES_Holdings_Inc,23.79,76.21,23.79,1.0,4190000.0,11765987.0,elected_pct,direct,"No proration triggered; cash was undersubscribed relative to the 50% cap, so all cash electors received full cash consideration."
E000269_20100902_Maryland_Bankcorp_Inc__Old_Line_Bancshares_Inc,,,5.32,,1000000.0,646626.0,received_or_allocated,direct,"Cash was oversubscribed and prorated to the 5% cap; 5.32% of shares (34,373) were ultimately cashed out for $1,000,000, but the original cash election percentage before proration is not disclosed."
E000275_20100825_California_Oaks_State_Bank__CU_Bancorp_Los_Angeles_CA,,100.0,,,,3721442.0,received_or_allocated,direct,"This was a fixed-ratio stock-for-stock merger (PC Bancorp/CU Bancorp) with no cash/stock election; all shares received stock plus cash for fractionals, no proration applied."
E000282_20121228_Roebling_Financial_Corp_Inc__TF_Financial_Corp,,,,,7252066.0,,dollars_only,not_found,"Only an aggregate cash cap/target ($7,252,066) is disclosed; no election percentages, share counts, or proration factor were provided."
E000288_20111103_CKF_Bancorp_Inc__Kentucky_First_Federal_Bancorp,,,43.63,0.6144,5069764.0,1225802.0,received_or_allocated,derived,"Cash elections were oversubscribed; cash electors received only 61.44% cash (proration factor) and 38.56% stock, with 534,859 of 1,225,802 CKF shares (~43.63%) ultimately converted to cash, while raw elected percentages were not separately disclosed."
E000300_20190514_Virginia_Community_Bankshares_Inc__Blue_Ridge_Bankshares_Inc,,,40.0,,16650000.0,717471.0,received_or_allocated,direct,"Text reports outcome (40% converted to cash, 60% to stock) achieving the 60/40 target allocation, not the original election demand; aggregate cash figure is a derived estimate from the filing."
E000314_20251010_SWK_Holdings_Corp__Runway_Growth_Finance_Corp,,,69.7,,,12095906.0,received_or_allocated,derived,"Only post-closing received cash/stock mix is disclosed (derived from RWAY shares issued and exchange ratio), not actual election percentages; no explicit proration factor given."
